     iTemp [Celsius]         iTemp [Raw]     oTemp [Celsius]         oTemp [Raw]     Delta [Celsius]         Delta [Raw]
              131.78                1631             131.126             1639.04            0.653624             8.04497
              132.04                1634              131.37             1642.24            0.669893             8.24488
              132.31                1637             131.614             1645.57            0.696153             8.56773
              132.58                1641             131.939             1648.89            0.641151             7.89043
              132.84                1644             132.183             1652.09            0.657388             8.08994
              133.11                1647             132.426             1655.41            0.683616             8.41237
              133.38                1650              132.67             1658.73            0.709835             8.73465
              133.64                1653             132.914             1661.93            0.726044             8.93375
              133.91                1657             133.239             1665.26            0.670975             8.25575
              134.18                1660             133.483             1668.58            0.697163             8.57761
              134.44                1663             133.727             1671.78             0.71334             8.77631
              134.71                1666              133.97              1675.1            0.739509             9.09789
              134.97                1669             134.214              1678.3            0.755668             9.29631
              135.24                1673             134.539             1681.62            0.700532             8.61762
              135.51                1676             134.783             1684.94            0.726669             8.93878
              135.77                1679             135.027             1688.14            0.742796              9.1368
              136.04                1682             135.271             1691.46            0.768914             9.45768
              136.31                1685             135.515             1694.78            0.795023             9.77841
              136.57                1689              135.84             1697.98            0.729819             8.97603
              136.84                1692             136.084              1701.3            0.755906             9.29649
              137.11                1695             136.328             1704.62            0.781983              9.6168
              137.37                1698             136.572             1707.81            0.798051             9.81401
              137.64                1701             136.816             1711.13            0.824109              10.134
              137.91                1705             137.141             1714.45            0.768838             9.45394
              138.17                1708             137.385             1717.65            0.784875             9.65074
              138.44                1711             137.629             1720.97            0.810901             9.97036
              138.71                1714             137.873             1724.29            0.836919             10.2898
              138.97                1717             138.117             1727.49            0.852927             10.4862
              139.24                1721             138.442             1730.81            0.797589             9.80542
              139.51                1724             138.686             1734.12            0.823575             10.1245
              139.78                1727              138.93             1737.44            0.849551             10.4434
              140.04                1730             139.174             1740.64            0.865518             10.6392
              140.31                1733             139.419             1743.96            0.891475             10.9579
              140.58                1737             139.744             1747.28            0.836071             10.2764
              140.84                1740             139.988             1750.47            0.852006             10.4718
              141.11                1743             140.232             1753.79            0.877932               10.79
              141.38                1746             140.476             1757.11            0.903848             11.1081
              141.64                1749              140.72              1760.3            0.919755             11.3031
              141.91                1752             140.964             1763.62            0.945653             11.6209
              142.18                1756              141.29             1766.94            0.890168             10.9386
              142.45                1759             141.534             1770.26            0.916044             11.2561
              142.71                1762             141.778             1773.45             0.93191             11.4506
              142.98                1765             142.022             1776.77            0.957767             11.7678
              143.25                1768             142.266             1780.08            0.983614             12.0849
              143.51                1772             142.592             1783.28            0.918062              11.279
              143.78                1775             142.836              1786.6            0.943887             11.5958
              144.05                1778              143.08             1789.91            0.969703             11.9124
              144.32                1781             143.324             1793.23            0.995509             12.2289
              144.58                1784             143.569             1796.42             1.01131             12.4225
              144.85                1788             143.894             1799.74            0.955686             11.7387
              145.12                1791             144.139             1803.05            0.981461             12.0548
              145.38                1794             144.383             1806.25            0.997226              12.248
              145.65                1797             144.627             1809.56             1.02298             12.5638
              145.92                1800             144.871             1812.88             1.04873             12.8795
              146.19                1804             145.197              1816.2            0.993042              12.195
              146.45                1807             145.441             1819.39             1.00877             12.3876
              146.72                1810             145.686              1822.7             1.03448             12.7029
              146.99                1813              145.93             1826.02             1.06019              13.018
              147.26                1816             146.174             1829.33             1.08588              13.333
              147.52                1819             146.418             1832.53             1.10157              13.525
              147.79                1823             146.744             1835.84              1.0458             12.8397
              148.06                1826             146.989             1839.15             1.07147             13.1543
              148.33                1829             147.233             1842.47             1.09712             13.4687
              148.59                1832             147.477             1845.66             1.11277             13.6602
              148.86                1835             147.722             1848.97              1.1384             13.9743
              149.13                1839             148.047             1852.29             1.08257             13.2883
               149.4                1842             148.292              1855.6             1.10818             13.6022
              149.67                1845             148.536             1858.92             1.13379             13.9159
              149.93                1848             148.781             1862.11             1.14938             14.1067
               150.2                1851             149.025             1865.42             1.17497             14.4202
              150.47                1855             149.351             1868.73             1.11906             13.7335
              150.74                1858             149.595             1872.05             1.14463             14.0466
                 151                1861              149.84             1875.24             1.16018             14.2369
              151.27                1864             150.084             1878.55             1.18573             14.5498
              151.54                1867             150.329             1881.86             1.21126             14.8625
              151.81                1870             150.573             1885.18             1.23679             15.1751
              152.08                1874             150.899             1888.49              1.1808             14.4875
              152.34                1877             151.144             1891.68             1.19631             14.6771
              152.61                1880             151.388             1894.99              1.2218             14.9893
              152.88                1883             151.633              1898.3             1.24729             15.3013
              153.15                1886             151.877             1901.61             1.27276             15.6132
              153.42                1890             152.203             1904.92             1.21671             14.9249
              153.68                1893             152.448             1908.11             1.23216             15.1139
              153.95                1896             152.692             1911.43             1.25761             15.4253
              154.22                1899             152.937             1914.74             1.28304             15.7367
              154.49                1902             153.182             1918.05             1.30847             16.0478
              154.76                1905             153.426             1921.36             1.33388             16.3589
              155.02                1909             153.752             1924.55             1.26775             15.5471
              155.29                1912             153.997             1927.86             1.29314             15.8579
              155.56                1915             154.241             1931.17             1.31853             16.1685
              155.83                1918             154.486             1934.48              1.3439              16.479
               156.1                1921             154.731             1937.79             1.36927             16.7893
              156.36                1925             155.057             1940.98             1.30307             15.9769
              156.63                1928             155.302             1944.29             1.32841              16.287
               156.9                1931             155.546              1947.6             1.35374             16.5969
              157.17                1934             155.791             1950.91             1.37907             16.9067
              157.44                1937             156.036             1954.22             1.40438             17.2163
              157.71                1941             156.362             1957.53             1.34812             16.5258
              157.97                1944             156.607             1960.71             1.36341             16.7125
              158.24                1947             156.851             1964.02             1.38869             17.0218
              158.51                1950             157.096             1967.33             1.41396             17.3308
              158.78                1953             157.341             1970.64             1.43923             17.6397
              159.05                1956             157.586             1973.95             1.46448             17.9485
              159.32                1960             157.912             1977.26             1.40814             17.2572
              159.59                1963             158.157             1980.57             1.43337             17.5657
              159.85                1966             158.401             1983.75             1.44859             17.7515
              160.12                1969             158.646             1987.06              1.4738             18.0597
              160.39                1972             158.891             1990.37               1.499             18.3678
              160.66                1976             159.217             1993.68             1.44259             17.6758
              160.93                1979             159.462             1996.98             1.46777             17.9836
               161.2                1982             159.707             2000.29             1.49294             18.2912
              161.47                1985             159.952              2003.6             1.51811             18.5987
              161.73                1988             160.197             2006.78             1.53326             18.7836
                 162                1991             160.442             2010.09              1.5584             19.0908
              162.27                1995             160.768              2013.4             1.50191             18.3979
              162.54                1998             161.013              2016.7             1.52703             18.7049
              162.81                2001             161.258             2020.01             1.55214             19.0117
              163.08                2004             161.503             2023.32             1.57724             19.3184
              163.35                2007             161.748             2026.62             1.60233             19.6249
              163.62                2011             162.074             2029.93             1.54578             18.9313
              163.88                2014             162.319             2033.12             1.56085             19.1151
              164.15                2017             162.564             2036.42             1.58591             19.4212
              164.42                2020             162.809             2039.73             1.61096             19.7272
              164.69                2023             163.054             2043.03               1.636              20.033
              164.96                2026             163.299             2046.34             1.66103             20.3387
              165.23                2030             163.626             2049.64             1.60439             19.6443
               165.5                2033             163.871             2052.95              1.6294             19.9497
              165.77                2036             164.116             2056.25              1.6544             20.2549
              166.04                2039             164.361             2059.56             1.67939               20.56
              166.31                2042             164.606             2062.87             1.70437              20.865
              166.57                2046             164.932             2066.05             1.63767             20.0475
              166.84                2049             165.177             2069.35             1.66262             20.3522
              167.11                2052             165.422             2072.66             1.68757             20.6567
              167.38                2055             165.667             2075.96             1.71251             20.9612
              167.65                2058             165.913             2079.27             1.73744             21.2654
              167.92                2061             166.158             2082.57             1.76236             21.5696
              168.19                2065             166.484             2085.87             1.70558             20.8736
              168.46                2068              166.73             2089.18             1.73048             21.1774
              168.73                2071             166.975             2092.48             1.75537             21.4812
                 169                2074              167.22             2095.78             1.78025             21.7847
              169.27                2077             167.465             2099.09             1.80512             22.0882
              169.54                2080              167.71             2102.39             1.82998             22.3915
              169.81                2084             168.037             2105.69             1.77311             21.6946
              170.08                2087             168.282                2109             1.79795             21.9976
              170.34                2090             168.527             2112.18             1.81278             22.1782
              170.61                2093             168.772             2115.48              1.8376             22.4809
              170.88                2096             169.018             2118.78             1.86241             22.7835
              171.15                2100             169.345             2122.09             1.80547             22.0859
              171.42                2103              169.59             2125.39             1.83026             22.3882
              171.69                2106             169.835             2128.69             1.85504             22.6904
              171.96                2109              170.08             2131.99              1.8798             22.9924
              172.23                2112             170.325             2135.29             1.90456             23.2943
               172.5                2115             170.571              2138.6             1.92931             23.5961
              172.77                2119             170.898              2141.9              1.8723             22.8977
              173.04                2122             171.143              2145.2             1.89703             23.1991
              173.31                2125             171.388              2148.5             1.92174             23.5004
              173.58                2128             171.634              2151.8             1.94645             23.8016
              173.85                2131             171.879              2155.1             1.97115             24.1027
              174.12                2134             172.124              2158.4             1.99584             24.4036
              174.39                2138             172.451              2161.7             1.93874             23.7043
              174.66                2141             172.697                2165             1.96341             24.0049
              174.93                2144             172.942             2168.31             1.98807             24.3054
               175.2                2147             173.187             2171.61             2.01272             24.6058
              175.47                2150             173.433             2174.91             2.03735             24.9059
              175.74                2154              173.76             2178.21             1.98019              24.206
              176.01                2157             174.005             2181.51             2.00481             24.5059
              176.28                2160             174.251             2184.81             2.02941             24.8057
              176.55                2163             174.496             2188.11             2.05401             25.1053
              176.82                2166             174.741              2191.4              2.0786             25.4048
              177.09                2169             174.987              2194.7             2.10318             25.7041
              177.36                2173             175.314                2198             2.04593             25.0033
              177.63                2176              175.56              2201.3             2.07049             25.3024
               177.9                2179             175.805              2204.6             2.09504             25.6013
              178.17                2182              176.05              2207.9             2.11957             25.9001
              178.44                2185             176.296              2211.2              2.1441             26.1988
              178.71                2188             176.541              2214.5             2.16862             26.4973
              178.98                2192             176.869              2217.8             2.11129             25.7956
              179.25                2195             177.114             2221.09             2.13579             26.0938
              179.52                2198              177.36             2224.39             2.16027             26.3919
              179.79                2201             177.605             2227.69             2.18475             26.6899
              180.06                2204             177.851             2230.99             2.20922             26.9877
              180.33                2207             178.096             2234.29             2.23367             27.2853
               180.6                2211             178.424             2237.58             2.17627             26.5828
              180.87                2214             178.669             2240.88              2.2007             26.8802
              181.14                2217             178.915             2244.18             2.22513             27.1774
              181.41                2220              179.16             2247.47             2.24955             27.4745
              181.68                2223             179.406             2250.77             2.27395             27.7715
              181.95                2227             179.734             2254.07             2.21648             27.0683
              182.22                2230             179.979             2257.36             2.24086              27.365
              182.49                2233             180.225             2260.66             2.26524             27.6615
              182.76                2236              180.47             2263.96              2.2896             27.9579
              183.03                2239             180.716             2267.25             2.31396             28.2541
               183.3                2242             180.962             2270.55             2.33831             28.5503
              183.57                2246             181.289             2273.85             2.28075             27.8462
              183.84                2249             181.535             2277.14             2.30508              28.142
              184.11                2252             181.781             2280.44             2.32939             28.4377
              184.39                2255             182.026             2283.86             2.36369             28.8553
              184.66                2258             182.272             2287.15             2.38799             29.1507
              184.93                2261             182.518             2290.45             2.41228              29.446
               185.2                2265             182.845             2293.74             2.35464             28.7411
              185.47                2268             183.091             2297.04              2.3789             29.0361
              185.74                2271             183.337             2300.33             2.40316             29.3309
              186.01                2274             183.583             2303.63              2.4274             29.6256
              186.28                2277             183.828             2306.92             2.45164             29.9202
              186.55                2280             184.074             2310.21             2.47586             30.2146
              186.82                2284             184.402             2313.51             2.41815             29.5089
              187.09                2287             184.648              2316.8             2.44235              29.803
              187.36                2290             184.893              2320.1             2.46654              30.097
              187.63                2293             185.139             2323.39             2.49073             30.3908
              187.91                2296             185.385             2326.81              2.5249             30.8065
              188.18                2299             185.631              2330.1             2.54907             31.1001
              188.45                2303             185.959             2333.39             2.49127             30.3935
              188.72                2306             186.205             2336.69             2.51541             30.6868
              188.99                2309              186.45             2339.98             2.53955               30.98
              189.26                2312             186.696             2343.27             2.56367              31.273
              189.53                2315             186.942             2346.57             2.58778             31.5658
               189.8                2318             187.188             2349.86             2.61189             31.8586
              190.07                2322             187.516             2353.15             2.55401             31.1511
              190.34                2325             187.762             2356.44             2.57809             31.4436
              190.62                2328             188.008             2359.86             2.61216             31.8578
              190.89                2331             188.254             2363.15             2.63623               32.15
              191.16                2334               188.5             2366.44             2.66028              32.442
              191.43                2337             188.746             2369.73             2.68432             32.7339
               191.7                2341             189.074             2373.03             2.62637             32.0256
              191.97                2344              189.32             2376.32             2.65039             32.3172
              192.24                2347             189.566             2379.61              2.6744             32.6086
              192.51                2350             189.812              2382.9              2.6984                32.9
              192.79                2353             190.058             2386.31             2.73239              33.313
              193.06                2356             190.304              2389.6             2.75638              33.604
              193.33                2360             190.632             2392.89             2.69834             32.8949
               193.6                2363             190.878             2396.19              2.7223             33.1857
              193.87                2366             191.124             2399.48             2.74625             33.4763
              194.14                2369              191.37             2402.77             2.77019             33.7667
              194.41                2372             191.616             2406.06             2.79412             34.0571
              194.69                2375             191.862             2409.47             2.82805             34.4691
              194.96                2379              192.19             2412.76             2.76993             33.7592
              195.23                2382             192.436             2416.05             2.79383             34.0491
               195.5                2385             192.682             2419.34             2.81772             34.3388
              195.77                2388             192.928             2422.63              2.8416             34.6284
              196.04                2391             193.175             2425.92             2.86547             34.9179
              196.31                2394             193.421             2429.21             2.88933             35.2072
              196.59                2398             193.749             2432.62             2.84113             34.6183
              196.86                2401             193.995             2435.91             2.86497             34.9073
              197.13                2404             194.241              2439.2              2.8888             35.1962
               197.4                2407             194.487             2442.48             2.91262              35.485
              197.67                2410             194.734             2445.77             2.93643             35.7736
              197.94                2413              194.98             2449.06             2.96023             36.0621
              198.22                2417             195.308             2452.47             2.91195             35.4723
              198.49                2420             195.554             2455.76             2.93573             35.7605
              198.76                2423               195.8             2459.05              2.9595             36.0485
              199.03                2426             196.047             2462.34             2.98326             36.3364
               199.3                2429             196.293             2465.62             3.00701             36.6242
              199.58                2432             196.539             2469.03             3.04075             37.0336
              199.85                2436             196.868             2472.32             2.98239             36.3211
              200.12                2439             197.114             2475.61             3.00611             36.6085
